cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
CB1062,14,,8,CB1062,cb_intrinsic
CB1469,1,,21,GNG431,cb_intrinsic
CB2685,9,,13,CB2685,cb_intrinsic
DNg03,10,CNS neuron,12,DNg03,descending_neuron
ER3m,4,,18,ER3m,cb_intrinsic
HRN_VP5,10,sensory neuron,12,HRN_VP5,cb_sensory
LTe58,11,,11,LoVP16,visual_projection
LTe64,10,,12,LoVP18,visual_projection
MTe08,8,,14,MeVP17,visual_projection
hDeltaI,5,,17,hDeltaI,cb_intrinsic
CB1042,9,,12,PS077,cb_intrinsic
CB1479,9,,12,GNG428,cb_intrinsic
CB2440,12,,9,CB2440,cb_intrinsic
LC14a2,6,,15,LC14a-2,ol_intrinsic
LHAD1a2,5,,16,LHAD1a2,cb_intrinsic
LHAV4a4,4,glia,17,LHAV4a4,cb_intrinsic
PAM02,4,,17,PAM02,cb_intrinsic
PAM10,6,,15,PAM10,cb_intrinsic
PAM13,5,,16,PAM13,cb_intrinsic
CB0955,2,,18,AVLP377,cb_intrinsic
CB1148,6,,14,CB1148,cb_intrinsic
CB1154,2,,18,CB1154,cb_intrinsic
CB1556,5,,15,CB1556,cb_intrinsic
CB1932,8,,12,CB1932,cb_intrinsic
CB2081,2,,18,CB2081_a,cb_intrinsic
CB2242,7,,13,GNG401,cb_intrinsic
CB2245,16,,4,CB2245,cb_intrinsic
DNpe008,2,CNS neuron,18,DNpe008,descending_neuron
LC19,6,CNS neuron,14,LC19,visual_projection
LC35,8,,12,LC35a,visual_projection
LCe09,7,,13,LoVP9,visual_projection
OCC02b,4,,16,OCC02b,visual_centrifugal
ORN_DL2d,5,sensory neuron,15,ORN_DL2d,cb_sensory
PAM07,6,CNS neuron,14,PAM07,cb_intrinsic
SLP188,6,,14,SLP188,cb_intrinsic
SMP381,8,,12,SMP381_a,cb_intrinsic
Sm17,1,,19,Cm22,ol_intrinsic
cM19,6,,14,PVLP046,visual_centrifugal
AN_AVLP_43,13,,6,AN10B029,ascending_neuron
AN_GNG_197,8,,11,AN05B053,ascending_neuron
AN_IPS_GNG_7,8,,11,AN04B003,ascending_neuron
AN_multi_124,2,,17,AN09A005,ascending_neuron
AOTU059,8,,11,AOTU059,cb_intrinsic
BM_Hau,12,sensory neuron,7,BM_Hau,cb_sensory
CB1055,10,,9,CB1055,cb_intrinsic
CB1638,8,,11,CB1638,cb_intrinsic
CB1648,4,,15,IB004_a,cb_intrinsic
CB2047,12,,7,CB2047,cb_intrinsic
DNg12_b,3,CNS neuron,16,DNg12_b,descending_neuron
DNge094,6,CNS neuron,13,DNge094,descending_neuron
DNp17,7,CNS neuron,12,DNp17,descending_neuron
LCe07,8,,11,LC23,visual_projection
LHAV2b2a,4,,15,LHAV2b2_a,cb_intrinsic
LHAV6a3,8,,11,LHAV6a3,cb_intrinsic
LHPV5a1,7,,12,LHPV5a1,cb_intrinsic
LHPV5b3,6,,13,LHPV5b3,cb_intrinsic
LTe65,7,CNS neuron,12,LoVP26,visual_projection
MeMe_e08,7,,12,MeVPMe1,visual_projection
PAM14,1,,18,PAM14,cb_intrinsic
PEG,1,,18,PEG,cb_intrinsic
PVLP082b,10,,9,PVLP082,cb_intrinsic
Pm1,18,CNS neuron,1,T4_unclear,ol_intrinsic
Sm26,1,,18,Cm11d,ol_intrinsic
AN_GNG_175,12,CNS neuron,6,AN06A060,ascending_neuron
AN_GNG_SAD_32,10,CNS neuron,8,AN08B031,ascending_neuron
AVLP149,6,,12,AVLP149,cb_intrinsic
AVLP454_b,8,,10,AVLP454_b1,cb_intrinsic
CB0980,8,,10,AMMC026,cb_intrinsic
CB1114,8,,10,CB1114,cb_intrinsic
CB1712,7,,11,SMP352,cb_intrinsic
CB2018,10,,8,CRE052,cb_intrinsic
CL104,14,,4,CL104,cb_intrinsic
DNg12_a,10,CNS neuron,8,DNg12_a,descending_neuron
ER3d_d,7,,11,ER3d_d,cb_intrinsic
LCe06,6,,12,LoVP93,visual_projection
LHPV5c3,6,,12,LHPV5c3,cb_intrinsic
PAM11,3,,15,PAM11,cb_intrinsic
SLP189,5,,13,SLP189_b,cb_intrinsic
Sm25,1,,17,Cm23,ol_intrinsic
AN_GNG_164,4,,13,AN08B106,ascending_neuron
AN_GNG_VES_7,11,,6,AN01B011,ascending_neuron
AVLP045,7,,10,AVLP045,cb_intrinsic
AVLP232,5,,12,AVLP232,cb_intrinsic
CB0978,11,,6,AMMC004,cb_intrinsic
CB0989,7,,10,AMMC020,cb_intrinsic
CB0997,8,,9,LHAV2a2,cb_intrinsic
CB1021,9,,8,GNG624,cb_intrinsic
CB1125,7,,10,SAD004,cb_intrinsic
CB1339,7,,10,CB1339,cb_intrinsic
CB1978,5,,12,AMMC025,cb_intrinsic
CB2290,5,,12,CB2290,cb_intrinsic
CB2774,7,,10,PS335,cb_intrinsic
CB2901,3,,14,SLP266,cb_intrinsic
DNES1,7,efferent neuron,10,DNES1,cb_endocrine
DNg106,1,CNS neuron,16,DNg106,descending_neuron
LAL110,7,,10,LAL110,cb_intrinsic
LHAD1c2c,9,,8,LHAD1c2,cb_intrinsic
LPT31,9,,8,LPT31,visual_projection
MeMe_e07,7,,10,MeVPMe2,visual_projection
SLP285,5,,12,SLP285,cb_intrinsic
SMP171,9,,8,SMP171,cb_intrinsic
TRN_VP1m,6,sensory neuron,11,TRN_VP1m,cb_sensory
VES022,6,,11,VES022,cb_intrinsic
hDeltaA,5,,12,hDeltaA,cb_intrinsic
AN_GNG_163,8,,8,AN07B070,ascending_neuron
AVLP040,7,,9,AVLP040,cb_intrinsic
CB1033,9,,7,CB1033,cb_intrinsic
CB1169,1,,15,SAD117,cb_intrinsic
CB1357,5,,11,CB1357,cb_intrinsic
CB1457,7,,9,CB1457,cb_intrinsic
CB1459,8,,8,AVLP103,cb_intrinsic
CB1482,6,,10,GNG619,cb_intrinsic
CB1654,9,,7,CB1654,cb_intrinsic
CB1918,5,,11,CB1918,cb_intrinsic
CB1995,8,,8,AVLP524_b,cb_intrinsic
CB2638,10,,6,CB2638,cb_intrinsic
CB2744,7,,9,CB2744,cb_intrinsic
CB3200,8,,8,AMMC031,cb_intrinsic
CL090_c,1,,15,CL090_c,cb_intrinsic
DA1_lPN,3,,13,DA1_lPN,cb_intrinsic
LC34,6,,10,LC34,visual_projection
LC39,8,,8,LC39a,visual_projection
