cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
IN08A026,10,CNS neuron,0,,,female_specific
IN08A028,10,,0,,,female_specific
IN11B015,10,,0,,,female_specific
IN12A063,10,,0,,,female_specific
IN13A038,10,CNS neuron,0,,,female_specific
IN13A045,10,,0,,,female_specific
IN13A047,10,CNS neuron,0,,,female_specific
IN14A023,10,CNS neuron,0,,,female_specific
IN17A061,10,CNS neuron,0,,,female_specific
IN19A041,10,,0,,,female_specific
IN19A061,10,CNS neuron,0,,,female_specific
IN19A073,10,,0,,,female_specific
IN20A.22A018,10,,0,,,female_specific
IN20A.22A035,10,,0,,,female_specific
IN20A.22A036,10,,0,,,female_specific
IN20A.22A060,10,,0,,,female_specific
IN21A047,10,,0,,,female_specific
IN21A058,10,,0,,,female_specific
IN23B060,10,,0,,,female_specific
INXXX161,10,,0,,,female_specific
INXXX315,10,,0,,,female_specific
INXXX411,10,,0,,,female_specific
INXXX429,10,,0,,,female_specific
JO-FDL,10,sensory neuron,0,,,female_specific
KCa'b'-ap2,10,CNS neuron,0,,,female_specific
LC10,10,CNS neuron,0,,,female_specific
MNad13,10,efferent neuron,0,,,female_specific
SAchxx,10,sensory neuron,0,,,female_specific
SApp12,10,sensory neuron,0,,,female_specific
SMP106a,10,,0,,,female_specific
SNpp01,10,sensory neuron,0,,,female_specific
SNxx20,10,sensory neuron,0,,,female_specific
SNxx29,10,sensory neuron,0,,,female_specific
Ti extensor MN,10,efferent neuron,0,,,female_specific
WED031,10,,0,,,female_specific
WED143,10,,0,,,female_specific
ltm2-femur MN,10,efferent neuron,0,,,female_specific
CB1329,9,,0,,,female_specific
CB1761,9,,0,,,female_specific
CB2317,9,,0,,,female_specific
CB3275,9,,0,,,female_specific
DNht001,9,CNS neuron,0,,,female_specific
DNut054,9,CNS neuron,0,,,female_specific
DProN_d,9,efferent neuron,0,,,female_specific
EN00B026,9,efferent neuron,0,,,female_specific
ER3d_a,9,,0,,,female_specific
FB9B_c,9,,0,,,female_specific
FC1A,9,,0,,,female_specific
GFC4,9,,0,,,female_specific
IN02A059,9,,0,,,female_specific
