cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
CB2928,7,,0,,
CB3102,7,,0,,
CB3287,7,,0,,
CoHP8,7,sensory neuron,0,,
CvN1-3,7,efferent neuron,0,,
DNg08,7,CNS neuron,0,,
ER3a_d,7,,0,,
ER3d_c,7,,0,,
IN03A052,7,,0,,
IN03A060,7,,0,,
IN03A089,7,,0,,
IN03B035,7,,0,,
IN03B065,7,,0,,
IN03B074,7,,0,,
IN03B080,7,,0,,
IN03B083,7,,0,,
IN04B027,7,,0,,
IN04B031,7,,0,,
IN05B086,7,,0,,
IN06A044,7,,0,,
IN06A057,7,,0,,
IN06A102,7,,0,,
IN06A130,7,,0,,
IN07B054,7,,0,,
IN07B055,7,,0,,
IN08A031,7,,0,,
IN08B008,7,,0,,
IN08B068,7,,0,,
IN08B083,7,,0,,
IN09A043,7,CNS neuron,0,,
IN09B005,7,,0,,
IN11A007,7,glia,0,,
IN11B013,7,,0,,
IN11B023,7,,0,,
IN12A036,7,,0,,
IN12A044,7,,0,,
IN13A024,7,,0,,
IN13A028,7,,0,,
IN13A036,7,,0,,
IN13A060,7,CNS neuron,0,,
IN13B036,7,,0,,
IN16B061,7,CNS neuron,0,,
IN16B077,7,CNS neuron,0,,
IN16B086,7,,0,,
IN17A025,7,CNS neuron,0,,
IN17A064,7,,0,,
IN19A008,7,,0,,
IN19A015,7,efferent neuron,0,,
IN19A071,7,,0,,
IN19A084,7,,0,,
IN19A100,7,,0,,
IN20A.22A007,7,,0,,
IN20A.22A026,7,,0,,
IN20A.22A028,7,,0,,
IN20A.22A051,7,,0,,
IN21A001,7,efferent neuron,0,,
IN21A042,7,,0,,
IN21A056,7,,0,,
IN23B072,7,,0,,
INXXX217,7,,0,,
INXXX253,7,,0,,
INXXX281,7,,0,,
INXXX321,7,CNS neuron,0,,
INXXX370,7,,0,,
INXXX381,7,sensory neuron,0,,
INXXX401,7,,0,,
INXXX402,7,,0,,
INXXX427,7,sensory neuron,0,,
INXXX436,7,,0,,
INXXX440,7,,0,,
INXXX464,7,CNS neuron,0,,
LAL056,7,,0,,
LAL059,7,,0,,
LC31b,7,,0,,
MNad05,7,efferent neuron,0,,
MNad14,7,efferent neuron,0,,
PS150,7,,0,,
PVLP074,7,,0,,
SA_DLV,7,sensory neuron,0,,
SA_VTV_2,7,sensory neuron,0,,
SAch02,7,sensory neuron,0,,
SApp13,7,sensory neuron,0,,
SApp19,7,sensory neuron,0,,
SAppxx,7,sensory neuron,0,,
SAxx01,7,sensory neuron,0,,
SMP173,7,,0,,
SMP319,7,,0,,
SNpp34,7,sensory neuron,0,,
Tm5Y,7,CNS neuron,0,,
accessory_pharyngeal_nerve_sensory_group1,7,sensory neuron,0,,
l-NSC-ITP,7,efferent neuron,0,,
AN04B003,6,,0,,
AN07B072,6,,0,,
AN07B082,6,,0,,
AN08B079,6,,0,,
AN_3_None,6,,0,,
AN_GNG_135,6,,0,,
AN_GNG_137,6,,0,,
AOTU039,6,,0,,
CB.FB5B0,6,,0,,
CB.FB8C2,6,,0,,
CB0739,6,,0,,
CB0959,6,,0,,
CB0962,6,,0,,
CB1038,6,,0,,
CB1102,6,,0,,
CB1198,6,CNS neuron,0,,
CB1394,6,,0,,
CB1496,6,,0,,
CB1528,6,,0,,
CB1580,6,,0,,
CB1635,6,,0,,
CB1760,6,,0,,
CB1776,6,,0,,
CB2213,6,,0,,
CB2258,6,,0,,
CB2384,6,,0,,
CB2891,6,,0,,
CB3283,6,,0,,
CB3639,6,,0,,
DM4_CX_p__0,6,,0,,
DNg92,6,CNS neuron,0,,
DNxn144,6,CNS neuron,0,,
DVMn 1a-c,6,efferent neuron,0,,
FB2D,6,,0,,
FB3C,6,,0,,
H2rn,6,CNS neuron,0,,
IN01A061,6,sensory neuron,0,,
IN01B016,6,sensory neuron,0,,
IN02A044,6,,0,,
IN02A049,6,,0,,
IN03A026,6,,0,,
IN03A036,6,,0,,
IN03A037,6,,0,,
IN03A051,6,,0,,
IN03A073,6,glia,0,,
IN03A077,6,,0,,
IN03B021,6,,0,,
IN03B054,6,,0,,
IN03B090,6,,0,,
IN04B029,6,,0,,
IN04B054,6,,0,,
IN04B080,6,,0,,
IN04B081,6,glia,0,,
IN04B091,6,,0,,
IN04B101,6,,0,,
IN05B065,6,,0,,
IN06A066,6,,0,,
IN06A070,6,,0,,
IN06A083,6,,0,,
IN06A085,6,,0,,
IN06A098,6,,0,,
IN06A108,6,,0,,
IN06A119,6,,0,,
IN06B028,6,,0,,
IN06B080,6,,0,,
IN06B087,6,,0,,
IN07B007,6,,0,,
IN07B087,6,glia,0,,
IN07B098,6,,0,,
IN08B070,6,,0,,
IN09A012,6,CNS neuron,0,,
IN09A071,6,CNS neuron,0,,
IN09A092,6,,0,,
IN11A022,6,,0,,
IN11A025,6,,0,,
IN11A028,6,,0,,
IN11A040,6,,0,,
IN11B004,6,,0,,
IN12A057,6,,0,,
IN12A061,6,,0,,
IN12B029,6,,0,,
IN13A001,6,,0,,
IN13A002,6,,0,,
IN13A003,6,,0,,
IN13A005,6,CNS neuron,0,,
IN13A006,6,,0,,
IN13A007,6,,0,,
IN13A008,6,,0,,
IN13A010,6,CNS neuron,0,,
IN13A012,6,CNS neuron,0,,
IN13A014,6,,0,,
IN13A015,6,CNS neuron,0,,
IN13A020,6,CNS neuron,0,,
IN13A022,6,,0,,
IN13A057,6,,0,,
IN13A064,6,,0,,
IN13B001,6,sensory neuron,0,,
IN13B021,6,,0,,
IN13B065,6,CNS neuron,0,,
IN13B078,6,,0,,
IN13B097,6,,0,,
IN14A025,6,,0,,
IN14B010,6,CNS neuron,0,,
IN17A001,6,,0,,
IN17A007,6,CNS neuron,0,,
IN17A016,6,CNS neuron,0,,
IN17A019,6,,0,,
IN19A001,6,,0,,
IN19A002,6,,0,,
IN19A003,6,,0,,
IN19A004,6,,0,,
IN19A006,6,,0,,
IN19A007,6,,0,,
IN19A020,6,,0,,
IN19A021,6,,0,,
IN19A022,6,CNS neuron,0,,
IN19A029,6,,0,,
IN19A030,6,,0,,
IN19A032,6,CNS neuron,0,,
IN19A054,6,,0,,
IN19A067,6,,0,,
IN19A081,6,CNS neuron,0,,
IN19A099,6,efferent neuron,0,,
IN19A110,6,,0,,
IN19A121,6,,0,,
IN19B094,6,sensory neuron,0,,
IN20A.22A008,6,,0,,
IN20A.22A009,6,,0,,
IN20A.22A015,6,,0,,
IN20A.22A017,6,,0,,
IN20A.22A027,6,,0,,
IN20A.22A054,6,,0,,
IN20A.22A056,6,,0,,
IN21A003,6,,0,,
IN21A004,6,glia,0,,
IN21A008,6,,0,,
IN21A009,6,,0,,
IN21A011,6,,0,,
IN21A014,6,,0,,
IN21A016,6,,0,,
IN21A018,6,,0,,
IN21A019,6,,0,,
IN21A022,6,,0,,
IN21A023,6,,0,,
IN21A028,6,,0,,
IN21A035,6,,0,,
IN21A044,6,,0,,
IN21A049,6,,0,,
IN21A063,6,,0,,
IN21A083,6,,0,,
IN21A098,6,,0,,
IN23B009,6,,0,,
INXXX100,6,,0,,
INXXX213,6,,0,,
INXXX220,6,,0,,
INXXX265,6,,0,,
INXXX282,6,,0,,
INXXX348,6,efferent neuron,0,,
INXXX400,6,sensory neuron,0,,
INXXX416,6,,0,,
INXXX424,6,sensory neuron,0,,
LAL188,6,,0,,
MNad01,6,efferent neuron,0,,
MNad02,6,efferent neuron,0,,
MNml78,6,efferent neuron,0,,
PFNm_b,6,,0,,
PLP241,6,,0,,
PS004b,6,,0,,
SA1_b,6,,0,,
SAD008,6,,0,,
SA_VTV_4,6,sensory neuron,0,,
SIP024,6,,0,,
SMP016,6,,0,,
SMP018,6,,0,,
SMP406,6,,0,,
SNch13,6,sensory neuron,0,,
SNta14,6,sensory neuron,0,,
SNta18,6,sensory neuron,0,,
Tergopleural/Pleural promotor MN,6,efferent neuron,0,,
TuBu10,6,,0,,
WEDPN7B,6,,0,,
ab-PDF,6,efferent neuron,0,,
columnar,6,,0,,
vDeltaH,6,,0,,
AN05B101,5,,0,,
AN06B046,5,,0,,
AN16B078,5,,0,,
AN_4_63,5,CNS neuron,0,,
AN_FLA_GNG_1,5,,0,,
AN_GNG_123,5,,0,,
AN_GNG_129,5,,0,,
AN_GNG_140,5,,0,,
AN_GNG_62,5,,0,,
AN_GNG_99,5,sensory neuron,0,,
AN_GNG_VES_10,5,sensory neuron,0,,
AOTU052,5,,0,,
ATL009,5,,0,,
AVLP008,5,,0,,
AVLP069,5,,0,,
AVLP187,5,,0,,
CB0742,5,,0,,
CB0960,5,,0,,
CB1068,5,,0,,
CB1071,5,,0,,
CB1184,5,,0,,
CB1239,5,,0,,
CB1380,5,,0,,
CB1759,5,,0,,
CB1949,5,,0,,
CB2044,5,,0,,
CB2187,5,,0,,
CB2225,5,,0,,
CB2293,5,,0,,
CB2370,5,,0,,
CB2604,5,,0,,
CB2670,5,,0,,
CB2801,5,,0,,
CB2893,5,,0,,
CB2911,5,,0,,
CB3022,5,,0,,
CB3082,5,,0,,
CB3145,5,CNS neuron,0,,
CB3199,5,,0,,
CB3516,5,,0,,
CB3821,5,CNS neuron,0,,
CB3824,5,CNS neuron,0,,
CB3827,5,CNS neuron,0,,
CB3835,5,CNS neuron,0,,
DM1_antero_ventral__2,5,,0,,
DNg12,5,CNS neuron,0,,
DNit003,5,CNS neuron,0,,
DNnt013,5,CNS neuron,0,,
DNut058,5,CNS neuron,0,,
ER2_d,5,,0,,
ER3p_b,5,,0,,
FB1E_a,5,,0,,
FB2E,5,,0,,
FB2I_a,5,,0,,
FB7I,5,,0,,
IN00A040,5,,0,,
IN01A038,5,,0,,
IN01A065,5,,0,,
IN01A079,5,,0,,
IN01B044,5,glia,0,,
IN01B056,5,sensory neuron,0,,
IN02A029,5,,0,,
IN02A066,5,,0,,
IN03A050,5,,0,,
IN03A054,5,,0,,
IN03A061,5,CNS neuron,0,,
IN03A085,5,,0,,
IN03A092,5,,0,,
IN03A094,5,,0,,
IN03B042,5,,0,,
IN03B046,5,,0,,
IN03B052,5,,0,,
IN04B019,5,,0,,
IN04B042,5,,0,,
IN04B043,5,,0,,
IN04B062,5,,0,,
IN04B094,5,,0,,
IN04B100,5,,0,,
IN04B107,5,,0,,
IN05B057,5,,0,,
IN05B070,5,glia,0,,
IN05B088,5,,0,,
IN06A061,5,,0,,
IN06A071,5,,0,,
IN06A109,5,sensory neuron,0,,
IN06A124,5,,0,,
IN06A126,5,,0,,
IN06B043,5,,0,,
IN06B070,5,,0,,
IN07B058,5,,0,,
IN07B065,5,,0,,
IN07B066,5,,0,,
IN08A048,5,,0,,
IN09A014,5,CNS neuron,0,,
IN09A034,5,,0,,
IN09A054,5,CNS neuron,0,,
IN09A072,5,,0,,
IN09B045,5,,0,,
IN09B047,5,,0,,
IN11A005,5,,0,,
IN11A008,5,,0,,
IN11A020,5,,0,,
IN11A034,5,,0,,
IN11B003,5,,0,,
IN12A053,5,,0,,
IN12B002,5,,0,,
IN12B018,5,,0,,
IN12B056,5,,0,,
IN12B069,5,,0,,
IN12B075,5,,0,,
IN13A009,5,,0,,
IN13A021,5,CNS neuron,0,,
IN13A032,5,,0,,
IN13A044,5,,0,,
IN13A046,5,,0,,
IN13A054,5,,0,,
IN13A063,5,CNS neuron,0,,
IN13A067,5,,0,,
IN13B064,5,,0,,
IN13B093,5,,0,,
IN14A086,5,,0,,
IN14A110,5,glia,0,,
IN16B108,5,sensory neuron,0,,
IN17A017,5,CNS neuron,0,,
IN17A020,5,,0,,
IN17A022,5,CNS neuron,0,,
IN17A026,5,,0,,
IN17A039,5,,0,,
IN17A041,5,CNS neuron,0,,
IN17A093,5,,0,,
IN17A095,5,,0,,
IN17A104,5,glia,0,,
IN17A113,5,,0,,
IN18B045,5,,0,,
IN19A045,5,,0,,
IN19A046,5,sensory neuron,0,,
IN19A056,5,,0,,
IN19A057,5,,0,,
IN19A065,5,,0,,
IN19A072,5,,0,,
IN19A083,5,,0,,
IN19A085,5,,0,,
IN19A092,5,,0,,
IN19A107,5,CNS neuron,0,,
IN19A109,5,,0,,
